pot,CO2,Salinity,C3prod,CxS
3,2,0,541.0658307,0
5,2,0,940.9090909,0
12,2,0,793.5736677,0
23,1,0,597.6489028,0
24,1,0,1933.54232,0
29,1,0,343.5736677,0
36,2,0,1308.62069,0
37,2,0,1453.448276,0
45,2,0,394.984326,0
51,1,0,710.031348,0
56,1,0,543.7304075,0
57,1,0,1341.53605,0
2,2,0,316.4576803,0
10,2,0,882.2884013,0
13,2,0,2285.736677,0
26,1,0,2119.122257,0
27,1,0,278.5266458,0
30,1,0,434.6394984,0
34,2,0,633.5423197,0
42,2,0,1760.031348,0
43,2,0,592.9467085,0
54,1,0,870.0626959,0
58,1,0,263.6363636,0
60,1,0,1991.53605,0
6,2,0,375.3918495,0
7,2,0,328.2131661,0
11,2,0,2412.382445,0
18,1,0,831.8181818,0
25,1,0,233.7617555,0
28,1,0,1876.018809,0
33,2,0,2201.724138,0
35,2,0,125.0783699,0
44,2,0,249.6865204,0
48,1,0,1785.109718,0
49,1,0,565.5172414,0
52,1,1,398.1191223,1
1,2,1,644.0438871,2
8,2,1,1844.043887,2
15,2,1,221.3166144,2
16,1,1,1147.805643,1
20,1,1,187.6175549,1
22,1,1,290.1253918,1
32,2,1,690.9090909,2
39,2,1,1090.438871,2
40,2,1,206.2695925,2
46,1,1,432.6018809,1
50,1,1,141.3793103,1
59,1,1,1008.777429,1
4,2,2,589.8119122,4
9,2,2,271.4733542,4
14,2,2,212.539185,4
17,1,2,110.5015674,2
19,1,2,43.26018809,2
21,1,2,192.3197492,2
31,2,2,499.2163009,4
38,2,2,190.2821317,4
41,2,2,916.4576803,4
47,1,2,99.05956113,2
53,1,2,196.5517241,2
55,1,2,100,2
